Date : 2020-05-11 17:47:48
Directory : c:\Users\Administrator\Desktop\demo
Total : 168 files,  197851 codes, 13602 comments, 10941 blanks, all 222394 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         71 |    149,766 |     13,242 |     10,115 |    173,123 |
| XML        |         24 |     37,236 |          0 |          9 |     37,245 |
| CSS        |         31 |      5,141 |        148 |        532 |      5,821 |
| HTML       |         17 |      4,414 |         50 |        186 |      4,650 |
| JSON       |         16 |        637 |          0 |          0 |        637 |
| Java       |          3 |        567 |        135 |         81 |        783 |
| C#         |          6 |         90 |         27 |         18 |        135 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        168 |    197,851 |     13,602 |     10,941 |    222,394 |
| c#                                                                                                                                 |         10 |        219 |          9 |          9 |        237 |
| c#\bin                                                                                                                             |          3 |         40 |          0 |          0 |         40 |
| c#\bin\Debug                                                                                                                       |          3 |         40 |          0 |          0 |         40 |
| c#\bin\Debug\netcoreapp3.1                                                                                                         |          3 |         40 |          0 |          0 |         40 |
| c#\obj                                                                                                                             |          5 |        151 |          9 |          5 |        165 |
| c#\obj\Debug                                                                                                                       |          1 |          9 |          9 |          5 |         23 |
| c#\obj\Debug\netcoreapp3.1                                                                                                         |          1 |          9 |          9 |          5 |         23 |
| css                                                                                                                                |          4 |        648 |          5 |        123 |        776 |
| demo                                                                                                                               |        112 |    133,207 |      9,108 |      7,340 |    149,655 |
| demo\c#                                                                                                                            |         10 |        219 |          9 |          9 |        237 |
| demo\c#\bin                                                                                                                        |          3 |         40 |          0 |          0 |         40 |
| demo\c#\bin\Debug                                                                                                                  |          3 |         40 |          0 |          0 |         40 |
| demo\c#\bin\Debug\netcoreapp3.1                                                                                                    |          3 |         40 |          0 |          0 |         40 |
| demo\c#\obj                                                                                                                        |          5 |        151 |          9 |          5 |        165 |
| demo\c#\obj\Debug                                                                                                                  |          1 |          9 |          9 |          5 |         23 |
| demo\c#\obj\Debug\netcoreapp3.1                                                                                                    |          1 |          9 |          9 |          5 |         23 |
| demo\css                                                                                                                           |          3 |        228 |          0 |         46 |        274 |
| demo\demo                                                                                                                          |         52 |     64,717 |      4,387 |      3,537 |     72,641 |
| demo\demo\c#                                                                                                                       |         10 |        219 |          9 |          9 |        237 |
| demo\demo\c#\bin                                                                                                                   |          3 |         40 |          0 |          0 |         40 |
| demo\demo\c#\bin\Debug                                                                                                             |          3 |         40 |          0 |          0 |         40 |
| demo\demo\c#\bin\Debug\netcoreapp3.1                                                                                               |          3 |         40 |          0 |          0 |         40 |
| demo\demo\c#\obj                                                                                                                   |          5 |        151 |          9 |          5 |        165 |
| demo\demo\c#\obj\Debug                                                                                                             |          1 |          9 |          9 |          5 |         23 |
| demo\demo\c#\obj\Debug\netcoreapp3.1                                                                                               |          1 |          9 |          9 |          5 |         23 |
| demo\demo\css                                                                                                                      |          2 |        185 |          0 |         37 |        222 |
| demo\demo\js                                                                                                                       |          9 |     37,612 |      1,281 |      1,411 |     40,304 |
| demo\demo\umeditor                                                                                                                 |         30 |     26,249 |      3,088 |      2,066 |     31,403 |
| demo\demo\umeditor\dialogs                                                                                                         |         12 |      1,670 |         83 |        294 |      2,047 |
| demo\demo\umeditor\dialogs\emotion                                                                                                 |          2 |        283 |          9 |         69 |        361 |
| demo\demo\umeditor\dialogs\formula                                                                                                 |          3 |        328 |          6 |         35 |        369 |
| demo\demo\umeditor\dialogs\image                                                                                                   |          2 |        368 |         25 |         96 |        489 |
| demo\demo\umeditor\dialogs\link                                                                                                    |          1 |         67 |          3 |          4 |         74 |
| demo\demo\umeditor\dialogs\map                                                                                                     |          2 |        349 |          6 |         57 |        412 |
| demo\demo\umeditor\dialogs\video                                                                                                   |          2 |        275 |         34 |         33 |        342 |
| demo\demo\umeditor\jsp                                                                                                             |          3 |        221 |         45 |         37 |        303 |
| demo\demo\umeditor\lang                                                                                                            |          2 |        288 |          8 |          4 |        300 |
| demo\demo\umeditor\lang\en                                                                                                         |          1 |        145 |          4 |          1 |        150 |
| demo\demo\umeditor\lang\zh-cn                                                                                                      |          1 |        143 |          4 |          3 |        150 |
| demo\demo\umeditor\themes                                                                                                          |          2 |        679 |         33 |         69 |        781 |
| demo\demo\umeditor\themes\default                                                                                                  |          2 |        679 |         33 |         69 |        781 |
| demo\demo\umeditor\themes\default\css                                                                                              |          2 |        679 |         33 |         69 |        781 |
| demo\demo\umeditor\third-party                                                                                                     |          9 |     15,564 |        520 |        556 |     16,640 |
| demo\demo\umeditor\third-party\mathquill                                                                                           |          8 |     15,561 |        517 |        555 |     16,633 |
| demo\demo\umeditor\third-party\mathquill\font                                                                                      |          5 |     12,384 |          0 |          0 |     12,384 |
| demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle                                                                   |          4 |      7,282 |          0 |          0 |      7,282 |
| demo\js                                                                                                                            |         10 |     37,772 |      1,321 |      1,452 |     40,545 |
| demo\umeditor                                                                                                                      |         30 |     26,249 |      3,088 |      2,066 |     31,403 |
| demo\umeditor\dialogs                                                                                                              |         12 |      1,670 |         83 |        294 |      2,047 |
| demo\umeditor\dialogs\emotion                                                                                                      |          2 |        283 |          9 |         69 |        361 |
| demo\umeditor\dialogs\formula                                                                                                      |          3 |        328 |          6 |         35 |        369 |
| demo\umeditor\dialogs\image                                                                                                        |          2 |        368 |         25 |         96 |        489 |
| demo\umeditor\dialogs\link                                                                                                         |          1 |         67 |          3 |          4 |         74 |
| demo\umeditor\dialogs\map                                                                                                          |          2 |        349 |          6 |         57 |        412 |
| demo\umeditor\dialogs\video                                                                                                        |          2 |        275 |         34 |         33 |        342 |
| demo\umeditor\jsp                                                                                                                  |          3 |        221 |         45 |         37 |        303 |
| demo\umeditor\lang                                                                                                                 |          2 |        288 |          8 |          4 |        300 |
| demo\umeditor\lang\en                                                                                                              |          1 |        145 |          4 |          1 |        150 |
| demo\umeditor\lang\zh-cn                                                                                                           |          1 |        143 |          4 |          3 |        150 |
| demo\umeditor\themes                                                                                                               |          2 |        679 |         33 |         69 |        781 |
| demo\umeditor\themes\default                                                                                                       |          2 |        679 |         33 |         69 |        781 |
| demo\umeditor\themes\default\css                                                                                                   |          2 |        679 |         33 |         69 |        781 |
| demo\umeditor\third-party                                                                                                          |          9 |     15,564 |        520 |        556 |     16,640 |
| demo\umeditor\third-party\mathquill                                                                                                |          8 |     15,561 |        517 |        555 |     16,633 |
| demo\umeditor\third-party\mathquill\font                                                                                           |          5 |     12,384 |          0 |          0 |     12,384 |
| demo\umeditor\third-party\mathquill\font\stixgeneral-bundle                                                                        |          4 |      7,282 |          0 |          0 |      7,282 |
| js                                                                                                                                 |         10 |     36,889 |      1,383 |      1,389 |     39,661 |
| umeditor                                                                                                                           |         30 |     26,249 |      3,088 |      2,066 |     31,403 |
| umeditor\dialogs                                                                                                                   |         12 |      1,670 |         83 |        294 |      2,047 |
| umeditor\dialogs\emotion                                                                                                           |          2 |        283 |          9 |         69 |        361 |
| umeditor\dialogs\formula                                                                                                           |          3 |        328 |          6 |         35 |        369 |
| umeditor\dialogs\image                                                                                                             |          2 |        368 |         25 |         96 |        489 |
| umeditor\dialogs\link                                                                                                              |          1 |         67 |          3 |          4 |         74 |
| umeditor\dialogs\map                                                                                                               |          2 |        349 |          6 |         57 |        412 |
| umeditor\dialogs\video                                                                                                             |          2 |        275 |         34 |         33 |        342 |
| umeditor\jsp                                                                                                                       |          3 |        221 |         45 |         37 |        303 |
| umeditor\lang                                                                                                                      |          2 |        288 |          8 |          4 |        300 |
| umeditor\lang\en                                                                                                                   |          1 |        145 |          4 |          1 |        150 |
| umeditor\lang\zh-cn                                                                                                                |          1 |        143 |          4 |          3 |        150 |
| umeditor\themes                                                                                                                    |          2 |        679 |         33 |         69 |        781 |
| umeditor\themes\default                                                                                                            |          2 |        679 |         33 |         69 |        781 |
| umeditor\themes\default\css                                                                                                        |          2 |        679 |         33 |         69 |        781 |
| umeditor\third-party                                                                                                               |          9 |     15,564 |        520 |        556 |     16,640 |
| umeditor\third-party\mathquill                                                                                                     |          8 |     15,561 |        517 |        555 |     16,633 |
| umeditor\third-party\mathquill\font                                                                                                |          5 |     12,384 |          0 |          0 |     12,384 |
| umeditor\third-party\mathquill\font\stixgeneral-bundle                                                                             |          4 |      7,282 |          0 |          0 |      7,282 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Administrator\Desktop\demo\c#\Program.cs                                                                                  | C#         |         21 |          0 |          1 |         22 |
| c:\Users\Administrator\Desktop\demo\c#\bin\Debug\netcoreapp3.1\c#.deps.json                                                        | JSON       |         23 |          0 |          0 |         23 |
| c:\Users\Administrator\Desktop\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.dev.json                                           | JSON       |          8 |          0 |          0 |          8 |
| c:\Users\Administrator\Desktop\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.json                                               | JSON       |          9 |          0 |          0 |          9 |
| c:\Users\Administrator\Desktop\demo\c#\c#.csproj                                                                                   | XML        |          7 |          0 |          3 |         10 |
| c:\Users\Administrator\Desktop\demo\c#\obj\Debug\netcoreapp3.1\c#.AssemblyInfo.cs                                                  | C#         |          9 |          9 |          5 |         23 |
| c:\Users\Administrator\Desktop\demo\c#\obj\c#.csproj.nuget.dgspec.json                                                             | JSON       |         58 |          0 |          0 |         58 |
| c:\Users\Administrator\Desktop\demo\c#\obj\c#.csproj.nuget.g.props                                                                 | XML        |         15 |          0 |          0 |         15 |
| c:\Users\Administrator\Desktop\demo\c#\obj\c#.csproj.nuget.g.targets                                                               | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\demo\c#\obj\project.assets.json                                                                     | JSON       |         63 |          0 |          0 |         63 |
| c:\Users\Administrator\Desktop\demo\css\demo.css                                                                                   | CSS        |        420 |          5 |         77 |        502 |
| c:\Users\Administrator\Desktop\demo\css\index.css                                                                                  | CSS        |         75 |          0 |         16 |         91 |
| c:\Users\Administrator\Desktop\demo\css\print.css                                                                                  | CSS        |         38 |          0 |          7 |         45 |
| c:\Users\Administrator\Desktop\demo\css\ruler.min.css                                                                              | CSS        |        115 |          0 |         23 |        138 |
| c:\Users\Administrator\Desktop\demo\demo\c#\Program.cs                                                                             | C#         |         21 |          0 |          1 |         22 |
| c:\Users\Administrator\Desktop\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.deps.json                                                   | JSON       |         23 |          0 |          0 |         23 |
| c:\Users\Administrator\Desktop\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.dev.json                                      | JSON       |          8 |          0 |          0 |          8 |
| c:\Users\Administrator\Desktop\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.json                                          | JSON       |          9 |          0 |          0 |          9 |
| c:\Users\Administrator\Desktop\demo\demo\c#\c#.csproj                                                                              | XML        |          7 |          0 |          3 |         10 |
| c:\Users\Administrator\Desktop\demo\demo\c#\obj\Debug\netcoreapp3.1\c#.AssemblyInfo.cs                                             | C#         |          9 |          9 |          5 |         23 |
| c:\Users\Administrator\Desktop\demo\demo\c#\obj\c#.csproj.nuget.dgspec.json                                                        | JSON       |         58 |          0 |          0 |         58 |
| c:\Users\Administrator\Desktop\demo\demo\c#\obj\c#.csproj.nuget.g.props                                                            | XML        |         15 |          0 |          0 |         15 |
| c:\Users\Administrator\Desktop\demo\demo\c#\obj\c#.csproj.nuget.g.targets                                                          | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\demo\demo\c#\obj\project.assets.json                                                                | JSON       |         63 |          0 |          0 |         63 |
| c:\Users\Administrator\Desktop\demo\demo\css\index.css                                                                             | CSS        |         75 |          0 |         16 |         91 |
| c:\Users\Administrator\Desktop\demo\demo\css\print.css                                                                             | CSS        |         38 |          0 |          7 |         45 |
| c:\Users\Administrator\Desktop\demo\demo\css\ruler.min.css                                                                         | CSS        |        115 |          0 |         23 |        138 |
| c:\Users\Administrator\Desktop\demo\demo\demo.css                                                                                  | CSS        |        426 |          5 |         35 |        466 |
| c:\Users\Administrator\Desktop\demo\demo\demo.html                                                                                 | HTML       |        716 |          8 |         11 |        735 |
| c:\Users\Administrator\Desktop\demo\demo\demo.js                                                                                   | JavaScript |          1 |          8 |          0 |          9 |
| c:\Users\Administrator\Desktop\demo\demo\demo2.js                                                                                  | JavaScript |        613 |        138 |         80 |        831 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\Program.cs                                                                        | C#         |         21 |          0 |          1 |         22 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.deps.json                                              | JSON       |         23 |          0 |          0 |         23 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.dev.json                                 | JSON       |          8 |          0 |          0 |          8 |
